Date,Job Number,Customer,Address,Postcode,Activity,Priority,Source File,Notes
31/07/2021,2290716,Fujitsu Services Limited - MAB - ME,"The Printworks, 27 Withy Grove, LANCASHIRE, MANCHESTER",M4 2BS,TECH EXCHANGE,ND 1900,Runsheet_DanielHanson31072021.pdf,Marked as DNCO - no payment on date with other paid jobs
31/05/2024,3777697,Computacenter Horizon Project,"H S B C, 99-101 LORD STREET, LIVERPOOL",L2 6PG,INSTALL,,Runsheet_Daniel_Hanson_31052024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/05/2024,3794898,Computacenter - Astra Zeneca,"ASTRA ZENECA, PLOT 6 RENAISSANCE WAY, BOULEVARD INDUSTRY, PARK,SPEKE, LIVERPOOL",L24 9JW,DELIVERY,ND 1700,Runsheet_Daniel_Hanson_31052024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/05/2024,3795059,Computacenter - Astra Zeneca,"ASTRA ZENECA, ASTRA ZENECA, PLOT 6 RENAISSANCE WAY, BOULEVARD INDUSTRY PARK,, SPEKE, LIVERPOOL",L24 9JW,DELIVERY,ND 1700,Runsheet_Daniel_Hanson_31052024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/05/2024,3796044,Computacenter - British Telecom,,,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_31052024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/05/2022,2718085,Lexmark Service Provider,"24-26 Liverpool Road, Crosby, Boots UK Limited, LIVERPOOL",L23 5SF,CONSUMABLE INSTALL,ND 1700,Runsheet_DanielHanson31052022.pdf,Marked as DNCO - no payment on date with other paid jobs
31/03/2024,3719742,Diebold Nixdorf  UK Limited,"KINGFISHER INFORMATION, TECHNOL, KINGFISHER INFORMATION, TECHNOL, 1 CRAVEN DRIVE, SOUTHRINGS, BUS, KITS BAMBER BRIDGE - 01291, PRESTON, Video cable Thank you%C2%A0%C2%A0%C2%A0%C2%A0   RICO  Hello team please, visit store and determine the root cause of till83 elo screen not turning on at all.  spare, parts: 01770052123INC5404748, PART, PART",PR5 6BZ,TECH EXCHANGE,,Runsheets_Warrington_Sunday 31st March 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/03/2024,3719802,Fujitsu Services Limited - Star Trains - ME,"01254 662857Northern Rail - STAR, Blackburn Railway Station, The, Boulvevard, Blackburn,, Lancashire, Lancs, Lancashire, Blackburn",BB1 1EX,TECH EXCHANGE,ND 1900,Runsheets_Warrington_Sunday 31st March 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/03/2024,3719803,DieboldNixdorf_WIPRO,"TRAFFORD PEEL, TRAFFORD PEEL, AVENUE THE TRAFFORD C, JL032 TRAFFORD, MANCHESTER, Location: ssp desk. 3rd floor. main office Issue: irruption failure Serialnumber:, DeviceCountry: DeviceZIP: DeviceCity: DeviceStreet: DeviceRoom: DeviceContactPerson:, DeviceCPPhone: DeviceDescription: POS DesiredDate: 202403301242",M17 8JL,TECH EXCHANGE,ND 1700,Runsheets_Warrington_Sunday 31st March 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/03/2024,3719838,Verifone UK LTD,GREATER MANCHESTER,M3 3EE,TECH EXCHANGE,ND 1800,Runsheets_Warrington_Sunday 31st March 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/03/2024,3719840,Verifone UK LTD,GREATER MANCHESTER,M3 3EE,TECH EXCHANGE,ND 1800,Runsheets_Warrington_Sunday 31st March 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/03/2024,3719847,Fujitsu Services Limited - Telefonica TC,"MIDDLEBROOK RETAIL PARK, MIDDLEBROOK",BL6 6JA,TECH EXCHANGE,,Runsheets_Warrington_Sunday 31st March 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
31/03/2023,3204698,Hemmersbach UK Ltd - PM Kit,"+44(0)161498490CARGO OVERSEAS LTD, CARGO OVERSEAS LTD, FLOATS ROAD WYTHENSHAWE, MANCHESTER",M23 9NJ,INSTALL,ND 1700,Runsheet_Daniel_Hanson_31032023.pdf,Marked as DNCO - no payment on date with other paid jobs
31/01/2023,3111040,Computacenter - British Telecom,"(0081049580), Old Hall Street, Old Hall Street",L3 9PY,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_31012023.pdf,Marked as DNCO - no payment on date with other paid jobs
31/01/2022,2533490,Lexmark Service Provider,"BIDSTON LINK ROAD, PRENTON, TESCO Stores Limited, BIRKENHEAD",CH43 7AA,CONSUMABLE INSTALL,ND 1700,Runsheet_DanielHanson31012022.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2024,4051247,Xerox (UK) Technical***DO NOT INVOICE****,"Eastgate Way, Manor Park, Lidl Great Britain Limited, RUNCORN",WA7 1NT,CONSUMABLE INSTALL,ND 1700,RUN SHEETS - WARRINGTON - MONDAY 30th DECEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2024,4051640,Xerox (UK) Technical***DO NOT INVOICE****,"Eastgate Way, Manor Park, Sales office 2nd floor, RUNCORN",WA7 1NT,INSTALL,ND 1700,RUN SHEETS - WARRINGTON - MONDAY 30th DECEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2023,3600808,CXM,"MANCHESTER, 15320WL23768878, CU, Lynsey 447786378416, 10am - 7pm Tue - Sun, axskotn, soft app issue",M2 6LE,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_30122023.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2023,3601225,Vista Retail Support Limited,"NEXT, ARNDALE CENTRE ,100, CORPORATION STREET, MANCHESTER, LANCASHIRE, MANCHESTER",M4 3AJ,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_30122023.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2023,3601228,Vista Retail Support Limited,"NEXT, (VICTORIA SECRETS PINK) UNIT, 9-10 MANCHESTER ARNDALE, LANCASHIRE, MANCHESTER",M4 3AJ,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_30122023.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2023,3601243,Vista Retail Support Limited,"NEXT, BUILDING W - FREEPORT, SHOPPING VILLAGE,, ANCHORAGE LANE, FLEETWOOD, LANCASHIRE, FLEETWOOD",FY7 6AE,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_30122023.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2023,3601310,CXM,"4GENERAL MANAGER ON-SITE, UNIT 8 MARKET WALK, EXTENSION, UNION STREET, CHORLEY, Elavon TID: 14027869; Date Time Logged: 20231228141005; Terminal ID: 210160385803;, Profile Number: 14027869, <BR> <a, href=""https://lms.cxmtechservices.net/popups/jobinfo.aspx?jobid=5610360"">Other Info</a>, See Items Overleaf",PR7 1FD,TECH EXCHANGE,,Runsheet_Daniel_Hanson_30122023.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2022,3058808,Fujitsu Services Limited - Wilko,,,TECH EXCHANGE,,Runsheet_Daniel_Hanson_30122022.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2022,3059635,Vista Retail Support Limited,"NEXT, ELLESMERE PORT, CHESHIRE, ELLESMERE PORT",CH65 9HD,TECH EXCHANGE,,Runsheet_Daniel_Hanson_30122022.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2022,3059636,Vista Retail Support Limited,"NEXT, 1-5 CHURCH STREET, LIVERPOOL, Store Opening Hours, Monday - 0900 : 2030, Tuesday - 0900 : 2030, Wednesday - 0900 : 2030, Thurday - undefined : undefined, Friday - 0900 : 2030, Saturday - 0900 : 1900, Sunday - 1030 : 1700Replace NXT-CDR-STD2000-0379RC Till No: Please record serial and Asset in and out, without fail on every single call, including unused parts(RE",L1 1DA,TECH EXCHANGE,,Runsheet_Daniel_Hanson_30122022.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2022,3060290,Vista Retail Support Limited,"NEXT, UNIT 3 PARSONAGE RETAIL, PARK ,PARSONAGE WAY, LANCASHIRE, LEIGH",WN7 5SJ,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_30122022.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2021,2486947,Vista Retail Support Limited,"NEXT, 1-5 CHURCH STREET, LIVERPOOL, Serial ID: 17298522512840, Serial ID: 19320522500065, Store Opening Hours, Monday - 0800 : 2100, Tuesday - 0800 : 2100, Wednesday - 0800 : 2100, Thurday - undefined : undefined, Friday - 0800 : 2100, Saturday - 0800 : 2000, Sunday - 1030 : 1700Replace NXT-HHT-ZEB-TC51 Till No: Please record serial and Asset in and out without fail, on every single call",L1 1DA,TECH EXCHANGE,ND 1700,Runsheet_30-12-21_runs.pdf,Marked as DNCO - no payment on date with other paid jobs
30/12/2021,2486955,Vista Retail Support Limited,"1-, -NEXT, 1-5 CHURCH STREET, LIVERPOOL, Serial ID: 17298522512840, Serial ID: 19320522500065, Store Opening Hours, Monday - 0800 : 2100, Tuesday - 0800 : 2100, Wednesday - 0800 : 2100, Thurday - undefined : undefined, Friday - 0800 : 2100, Saturday - 0800 : 2000, Sunday - 1030 : 1700Replace NXT-HHT-ZEB-TC51 Till No: Please record serial and Asset in and out without fail, on every single call",L1 1DA,TECH EXCHANGE,,Runsheet_30-12-21_runs.pdf,Marked as DNCO - no payment on date with other paid jobs
30/11/2024,4028356,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, WAITROSE LTD THE PARADE, LONDON, WR560 ALDERLEY EDGE, ALDERLEY EDGE, Returned Serial: Na",SK9 7JX,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - SATURDAY 30th NOVEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
30/11/2024,4028391,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, FLAT LANE SANDBACH, WR680 SANDBACH, CHESHIRE, replace TC51 HHT PN 1900001897 Serialnumber:  DeviceCountry:  DeviceZIP:, DeviceCity:  DeviceStreet:  DeviceRoom:  DeviceContactPerson:  DeviceCPPhone:, DeviceDescription: POS DesiredDate: 202411271313  Web logging  Model number: TC51, Serial Number (S/N): 18266522505066  Fault/Attempted Triage: This is a replacement, handset, but it doesn%27t seem to have been set up properly. Instead of the usual launcher page, we have a page that says %27vmware airwatch%27, and we can%27t login with netdom credentials.  Incident INC6466413 has been placed, into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold.INC6466413",CW11 4BE,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - SATURDAY 30th NOVEMBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
30/10/2024,3988646,DieboldNixdorf_WIPRO,"LIVERPOOL, LIVERPOOL, LIVERPOOL ONE 70 SOUTH JO, LIVERPOOL, Serial Number: 192577303461103311072994 Asset Number: PAN00099395 Model, Ingenico 2500 Location: IN ITS LOCKER, Traka 1 DR 29 Issue: The Screen is Blue with sad face interrupted message on. Can not, reset of restart, not responding. Incident INC6435737 has been placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold. DN Engineer to replace Ingenico, L2500 PN 1900001941",L1 8BJ,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - WEDNESDAY 30th OCTOBER 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
30/10/2022,2956063,Diebold Nixdorf  UK Limited,"KINGFISHER INFORMATION, TECHNOL, KINGFISHER INFORMATION, TECHNOL, MEOLS COP ROAD, KITS SOUTHPORT - 01101, SOUTHPORT",PR8 6JU,TECH EXCHANGE,ND 1700,Runsheet_Manchester_Sunday 30th October 2022_Daniel_Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/10/2022,2957420,Diebold Nixdorf  UK Limited,"KINGFISHER INFORMATION, TECHNOL, KINGFISHER INFORMATION, TECHNOL, KITS CREWE - 01172, WESTON ROAD",CW1 6BA,TECH EXCHANGE,ND 1700,Runsheet_Manchester_Sunday 30th October 2022_Daniel_Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/10/2022,2957423,Fujitsu Services Limited - EE - ME,"Unit 1B, Crown Point, Shopping, Park, Denton, GREATER MANCHESTER, Manchester",M34 3JP,TECH EXCHANGE,ND 1900,Runsheet_Manchester_Sunday 30th October 2022_Daniel_Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/09/2025,4251213,Xerox (UK) Technical***DO NOT INVOICE****,"Lower Lane, Prosthetics & Wheelchair,,, LIVERPOOL",L9 7AL,CONSUMABLE INSTALL,ND 1700,DH_30-09-2025.pdf,Marked as DNCO - no payment on date with other paid jobs
30/09/2021,2361657,Northampton Technical Support *NO INV*,"0203 356 7438RICO - MANCHESTER, UNIT 5, JAMES CORBETT ROAD, SALFORD",M50 1DE,,,Runsheet_DanielHanson30092021.pdf,Marked as DNCO - no payment on date with other paid jobs
30/07/2025,4211561,PayPoint - Van Stock Audits,,,,,DH_30-07-2025.pdf,Marked as DNCO - no payment on date with other paid jobs
30/07/2022,2808759,Fujitsu Services Limited - Vodafone,,,TECH EXCHANGE,ND 1900,Runsheet_Manchester_Saturday 30th July 2022_Daniel Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/07/2022,2808778,Verifone UK LTD,"MANCHESTER - 3, 28-30 CANAL STREET, 28-30 CANAL STREET, GREATER MANCHESTER",M1 3EZ,TECH EXCHANGE,ND 1800,Runsheet_Manchester_Saturday 30th July 2022_Daniel Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/07/2022,2809044,CXM,"MA KELLYS, 75-77 TALBOT ROAD, BLACKPOOL",FY1 1LL,TECH EXCHANGE,ND 1700,Runsheet_Manchester_Saturday 30th July 2022_Daniel Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/07/2022,2809120,Diebold Nixdorf  UK Limited,"KINGFISHER INFORMATION, TECHNOL, KINGFISHER INFORMATION, TECHNOL, UNIT 1, MANCHESTER FORT, SHOP P, KITS CHEETHAM HILL - 01311, MANCHESTER",M8 8EP,TECH EXCHANGE,ND 1700,Runsheet_Manchester_Saturday 30th July 2022_Daniel Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/07/2022,2809129,Fujitsu Services Limited - EE - ME,,,TECH EXCHANGE,ND 1900,Runsheet_Manchester_Saturday 30th July 2022_Daniel Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/07/2022,2809523,Verifone UK LTD,"01253 738 542PIZZA EXPRESS - 1041 -, LYTHAM",FY8 5EN,TECH EXCHANGE,ND 1800,Runsheet_Manchester_Saturday 30th July 2022_Daniel Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/07/2022,2809552,Fujitsu Services Limited - EE - ME,,,TECH EXCHANGE,,Runsheet_Manchester_Saturday 30th July 2022_Daniel Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/07/2022,2809726,Fujitsu Services Limited - Hutchinson 3G,"FURNESS II BARROW IN FURN, 153-155 DALTON ROAD, CUMBRIA, BARROW IN FURNESS",LA14 1PU,TECH EXCHANGE,,Runsheet_Manchester_Saturday 30th July 2022_Daniel Hanson.pdf,Marked as DNCO - no payment on date with other paid jobs
30/06/2024,3833224,Diebold Nixdorf  UK Limited,"KINGFISHER INFORMATION, TECHNOL, KINGFISHER INFORMATION, TECHNOL, STANLEY GREEN RETAIL PK,, EARL, KITS HANDFORTH - 01205, CHEADLE",SK8 6PT,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_30062024.pdf,Marked as DNCO - no payment on date with other paid jobs
30/06/2023,3336966,Smart Capital Technology Ltd,"ASDA WALTON, UTTING AVENUE, MERSEYSIDE",L4 9XU,TECH EXCHANGE,ND 1700,Runsheets_Manchester_Friday 30th June 2023.pdf,Marked as DNCO - no payment on date with other paid jobs
30/06/2023,3336974,Smart Capital Technology Ltd,"ASDA WALTON, UTTING AVENUE, MERSEYSIDE",L4 9XU,TECH EXCHANGE,ND 1700,Runsheets_Manchester_Friday 30th June 2023.pdf,Marked as DNCO - no payment on date with other paid jobs
30/06/2023,3337022,Smart Capital Technology Ltd,"ASDA WALTON, UTTING AVENUE, MERSEYSIDE",L4 9XU,TECH EXCHANGE,ND 1700,Runsheets_Manchester_Friday 30th June 2023.pdf,Marked as DNCO - no payment on date with other paid jobs
30/06/2023,3337123,Smart Capital Technology Ltd,"ASDA WALTON, UTTING AVENUE, MERSEYSIDE",L4 9XU,TECH EXCHANGE,ND 1700,Runsheets_Manchester_Friday 30th June 2023.pdf,Marked as DNCO - no payment on date with other paid jobs
30/05/2024,3792489,HCL Barclays,,,,,Runsheet_Daniel_Hanson_30052024.pdf,Marked as DNCO - no payment on date with other paid jobs
30/04/2025,4147660,Fujitsu Services Limited - Star Trains - P2PE,,,TECH EXCHANGE,ND 1900,RUN SHEETS - WARRINGTON - WEDNESDAY 30th APRIL 2025.pdf,Marked as DNCO - no payment on date with other paid jobs
30/04/2025,4148270,Computacenter Limited,"1Richard Morris, (008102783, Bootle The Esplanade, Bootle The Esplanade",L20 4SP,TECH EXCHANGE,ND 1700,RUN SHEETS - WARRINGTON - WEDNESDAY 30th APRIL 2025.pdf,Marked as DNCO - no payment on date with other paid jobs
30/04/2024,3756798,Secure Retail Limited,"3 STORE, 3 STORE, ST HELENS",WA10 1BW,TECH EXCHANGE,ND 1700,Runsheets_Warrington_Tuesday 30th April 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
30/04/2023,3248285,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, THREE TUNS LANE SEFTON, FORMBY, WAITROSE FORMBY, MERSEYSIDE",L37 4AJ,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_30042023.pdf,Marked as DNCO - no payment on date with other paid jobs
30/03/2025,4126681,Fujitsu Services Limited - Star Trains - ME,"Waterloo Road, MERSEYSIDE, Southport",PR8 1BE,TECH EXCHANGE,ND 1900,Runsheet_Daniel_Hanson_30032025.pdf,Marked as DNCO - no payment on date with other paid jobs
30/03/2025,4126691,Xerox (UK) Technical***DO NOT INVOICE****,"2 Stephen Duty manager, HIGH STREET, Shop Floor, PORTHMADOG",LL49 9NU,REPAIR WITH PARTS,8HR,Runsheet_Daniel_Hanson_30032025.pdf,Marked as DNCO - no payment on date with other paid jobs
30/03/2024,3719146,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, THREE TUNS LANE SEFTON, FORMBY, WR749 FORMBY, MERSEYSIDE, Awaiting Vendor state. Attempting to transfer to Diebold.     Web logging  Model number:, TC51  Serial Number (S/N): 18331522500798  Fault/Attempted Triage: Device does not, allow log in stuck on VMWARE AIRWATCH Serialnumber:  DeviceCountry:  DeviceZIP:, DeviceCity:  DeviceStreet:  DeviceRoom:  DeviceContactPerson:  DeviceCPPhone:, DeviceDescription: POS DesiredDate: 202403291805INC6196814, PART, PART",L37 4AJ,TECH EXCHANGE,ND 1700,Runsheets_Warrington_Saturday 30th March 2024.pdf,Marked as DNCO - no payment on date with other paid jobs
30/03/2023,3202436,Fujitsu Services Limited - Star Trains,"Ormskirk Road, LANCASHIRE, Liverpool",L9 5BE,TECH EXCHANGE,,Runsheet_Daniel_Hanson_30032023.pdf,Marked as DNCO - no payment on date with other paid jobs
29/12/2024,4051901,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, WAITROSE LTD THE PARADE, LONDON, WR560 ALDERLEY EDGE, ALDERLEY EDGE",SK9 7JX,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_29122024.pdf,Marked as DNCO - no payment on date with other paid jobs
29/12/2024,4051986,DieboldNixdorf_WIPRO,"CHEADLE WILMSLOW ROAD, CHEADLE WILMSLOW ROAD, JL041 CHEADLE, CHEADLE, Location: Shop support office Issue: PED has a blue screen saying %27irruption%27 and, will need to be swapped out. Incident INC6494801 has been placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold.",SK8 3BZ,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_29122024.pdf,Marked as DNCO - no payment on date with other paid jobs
29/12/2024,4051987,DieboldNixdorf_WIPRO,"WIPRO LIMITED, WIPRO LIMITED, WR842 CHESTER, CHESHIRE, DeviceRoom:  DeviceContactPerson:  DeviceCPPhone:  DeviceDescription: POS, DesiredDate: 202412230655  Web logging  Model number: TC51  Serial Number (S/N):, constant stream of error messages including  Launcher3 keeps stopping, and a notification saying the handset is running out of storage space.  Incident, INC6491009 has been placed into the On Hold, Awaiting Vendor state. Attempting to transfer to Diebold.INC6491009",CH3 5AF,TECH EXCHANGE,,Runsheet_Daniel_Hanson_29122024.pdf,Marked as DNCO - no payment on date with other paid jobs
29/12/2022,3056850,Fujitsu Services Limited - Wilko (ME),,,,,Runsheet_Daniel_Hanson_29122022.pdf,Marked as DNCO - no payment on date with other paid jobs
29/12/2022,3057865,CXM,"4GENERALMANAGERON-SITE, UNIT3, CORN EXCHANGE,, MANCHESTER, href=""https://lms.cxmtechservices.net/popups/jobinfo.aspx?jobid=5401285"">Other Info</a>, See Items Overleaf, See Items Overleaf",M4 3TR,TECH EXCHANGE,ND 1700,Runsheet_Daniel_Hanson_29122022.pdf,Marked as DNCO - no payment on date with other paid jobs
29/12/2022,3058233,Diebold Nixdorf  UK Limited,"KINGFISHER INFORMATION, TECHNOL, KINGFISHER INFORMATION, TECHNOL, UNIT 1, MANCHESTER FORT, SHOP P, KITS CHEETHAM HILL - 01311, MANCHESTER",M8 8EP,TECH EXCHANGE,,Runsheet_Daniel_Hanson_29122022.pdf,Marked as DNCO - no payment on date with other paid jobs
29/11/2023,3558610,Pret Tech Mahindra (UK) BAU,"STATION, MANCHESTER, PICCADILLY, STATION, UNIT 3 CONCOURSE,, MANCHESTER PICCADILLY, STATION,, MANCHESTER",M1 2BN,TECH EXCHANGE,ND 1700,Runsheets_Manchester_Wednesday 29th November 2023.pdf,Marked as DNCO - no payment on date with other paid jobs
29/11/2022,3008866,Computacenter Limited - HSBC,"56 High Street, Bala, Gwynedd",LL23 7ND,TECH EXCHANGE,,Runsheet_13_runs_2022_11_29.pdf,Marked as DNCO - no payment on date with other paid jobs
