client,job_count,total_amount,avg_amount,min_amount,max_amount
COGNIZANT HAYS WAREHOUSING,12,180.0,15.0,15.0,15.0
Fujitsu Services Limited - KFC,9,160.0,17.77777777777778,10.0,25.0
TCS VIRGIN MEDIA 02,9,150.0,16.666666666666668,15.0,20.0
COMPUTACENTER HSBC “ EBBT,9,145.0,16.11111111111111,10.0,20.0
EPAY Limited,8,135.0,16.875,15.0,22.5
Computacenter Hays Recruitment,11,122.5,11.136363636363637,10.0,15.0
CONSILLION(UK) LIMITED,8,120.0,15.0,15.0,15.0
Fujitsu Services Ltd - Starbucks (ME),3,116.0,38.666666666666664,35.0,41.0
Computacenter JLP,8,115.0,14.375,10.0,15.0
Computacenter - British Telecom,11,112.0,10.181818181818182,10.0,12.0
NCR - Sains Print ***DO NOT INVOICE****,7,95.0,13.571428571428571,10.0,15.0
Computacenter Maintenance Collections,9,90.0,10.0,10.0,10.0
Computacenter - Morrisons Tablets,8,89.9,11.2375,10.0,19.9
COMPUTACENTER - NFUM Swaps,6,84.96000000000001,14.160000000000002,10.0,20.12
Herbert Retail Limited,7,84.5,12.071428571428571,10.0,15.0
Fujitsu Services Ltd - Telefonica - P2PE,3,81.0,27.0,25.0,30.0
SMART CT LIMITED,5,75.0,15.0,15.0,15.0
CXM - KYC,2,70.64,35.32,15.0,55.64
Fujitsu - Star “ TFW - TC,4,60.0,15.0,15.0,15.0
Fujitsu Services Limited - Specsavers HU,4,58.0,14.5,10.0,20.0
CDW - DWP,4,55.0,13.75,10.0,20.0
CDW,5,55.0,11.0,10.0,15.0
Computacenter â€“ RBS Swap service,3,51.66,17.22,10.0,31.66
HCL Network Rail Dispatch,2,50.0,25.0,25.0,25.0
ESP Global Services,3,50.0,16.666666666666668,15.0,20.0
TCS Asda,3,45.0,15.0,15.0,15.0
Hewlett-Packard CDS Ltd,1,45.0,45.0,45.0,45.0
VIP Computer Centre Limited,2,40.0,20.0,20.0,20.0
Fujitsu Services - Specsavers - ME,1,40.0,40.0,40.0,40.0
Computacenter Limited - Santander,4,40.0,10.0,10.0,10.0
Paypoint Network Limited RDP Installs,1,37.5,37.5,37.5,37.5
National Gas Metering,3,37.5,12.5,10.0,15.0
The DEOS Group,2,35.0,17.5,15.0,20.0
Hemmersbach UK Ltd - PM Kit,2,35.0,17.5,15.0,20.0
Fujitsu Services Limited - whitbread,2,33.0,16.5,15.0,18.0
Computacenter Limited - SSE,3,30.0,10.0,10.0,10.0
Computacenter - JLP Project,1,30.0,30.0,30.0,30.0
COCKTAIL MACHINE UK LTD,1,30.0,30.0,30.0,30.0
Fujitsu Services Limited - Adhoc Collections,2,23.0,11.5,10.0,13.0
Computacenter Limited - Nat West,2,20.0,10.0,10.0,10.0
COGNIZANT HAYS,1,20.0,20.0,20.0,20.0
SCC - COUNTRYWIDE,1,15.0,15.0,15.0,15.0
RHENUS,1,15.0,15.0,15.0,15.0
Computacenter - TSB,1,15.0,15.0,15.0,15.0
CXM - LMI,1,15.0,15.0,15.0,15.0
