Job Number,Client,Location,Postcode,Job Type,Date,Time,Amount,Rate,Units,Agency,Week Number,Tax Year,Pay Date
4247786,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,LL49 9NU,REPAIR WITH PARTS,22/09/25,08:00,40.0,40.0,1.0,TVS,28,2025,
4244583,Computacenter Limited,41 Ellingham Close,M11 3QP,COLLECTION,17/09/25,09:00,10.0,10.0,1.0,TVS,27,2025,
4243408,DieboldNixdorf_WIPRO,WIPRO LIMITED,M17 8JL,TECH EXCHANGE P2PE,16/09/25,09:00,15.0,15.0,1.0,TVS,27,2025,
4243024,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,L2 7PQ,TECH EXCHANGE,15/09/25,10:14,40.0,40.0,1.0,TVS,27,2025,
4242988,DieboldNixdorf_WIPRO,WIPRO LIMITED,M17 8JL,TECH EXCHANGE P2PE,15/09/25,09:00,15.0,15.0,1.0,TVS,27,2025,
4242981,DieboldNixdorf_WIPRO,WIPRO LIMITED,M17 8JL,TECH EXCHANGE P2PE,15/09/25,09:00,15.0,15.0,1.0,TVS,27,2025,
4242979,DieboldNixdorf_WIPRO,WIPRO LIMITED,M17 8JL,TECH EXCHANGE P2PE,15/09/25,09:00,15.0,15.0,1.0,TVS,27,2025,
4242977,DieboldNixdorf_WIPRO,TRAFFORD PEEL AVENUE,M17 8JL,TECH EXCHANGE P2PE,15/09/25,09:00,15.0,15.0,1.0,TVS,27,2025,
4242975,DieboldNixdorf_WIPRO,TRAFFORD PEEL AVENUE,M17 8JL,TECH EXCHANGE P2PE,15/09/25,09:00,15.0,15.0,1.0,TVS,27,2025,
4242974,Paypoint Network Limited - UK,DINGLE NEWSAGENTS,L8 9RW,TECH EXCHANGE,15/09/25,09:25,35.0,35.0,1.0,TVS,27,2025,
4242973,DieboldNixdorf_WIPRO,TRAFFORD PEEL AVENUE,M17 8JL,TECH EXCHANGE P2PE,15/09/25,09:00,15.0,15.0,1.0,TVS,27,2025,
4242972,DieboldNixdorf_WIPRO,TRAFFORD PEEL AVENUE,M17 8JL,TECH EXCHANGE P2PE,15/09/25,09:00,15.0,15.0,1.0,TVS,27,2025,
4242932,DieboldNixdorf_WIPRO,TRAFFORD PEEL AVENUE,M17 8JL,TECH EXCHANGE P2PE,15/09/25,09:00,15.0,15.0,1.0,TVS,27,2025,
4241791,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,CH48 4DZ,TECH EXCHANGE,12/09/25,10:31,96.34,96.34,1.0,TVS,26,2025,
4240856,Paypoint Network Limited - UK,BARGAIN BOOZE,L21 5HY,TECH EXCHANGE,11/09/25,10:29,25.0,25.0,1.0,TVS,26,2025,
4235249,Paypoint Network Limited - UK,CO-OP - UPHOLLAND,WN8 0AG,TECH EXCHANGE,03/09/25,09:56,30.0,30.0,1.0,TVS,25,2025,
4234297,Paypoint Network Limited - UK,FRIENDLY SHOPPER,M11 4NR,TECH EXCHANGE,02/09/25,11:23,30.0,30.0,1.0,TVS,25,2025,
4232969,Paypoint Network Limited - UK,BEST 4 LESS,BB1 1RF,TECH EXCHANGE,31/08/25,10:38,40.0,40.0,1.0,TVS,25,2025,
4232844,Computacenter - Kingfisher,B & Q PLC,BL1 2SL,TECH EXCHANGE,30/08/25,14:09,40.0,40.0,1.0,TVS,25,2025,
4232836,DieboldNixdorf_WIPRO,WIPRO LIMITED,SK8 3BZ,TECH EXCHANGE P2PE,30/08/25,13:27,40.0,40.0,1.0,TVS,25,2025,
4230344,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,SK6 7DA,TECH EXCHANGE,27/08/25,10:39,45.0,45.0,1.0,TVS,24,2025,
4229603,Paypoint Network Limited - UK,CO-OP - CHESHIRE AVENUE,CW9 7UA,TECH EXCHANGE,26/08/25,13:39,47.92,47.92,1.0,TVS,24,2025,
4228722,Paypoint Network Limited - UK,RAJA BROS,M40 0JA,TECH EXCHANGE,25/08/25,10:18,25.0,25.0,1.0,TVS,24,2025,
4228715,Paypoint Network Limited - UK,AISHA NEWS & GROCERIES,OL10 3RY,TECH EXCHANGE,25/08/25,09:22,25.0,25.0,1.0,TVS,24,2025,
4228579,Xerox (UK) Technical***DO NOT INVOICE****,Boots UK Limited,BB2 3PX,REPAIR WITH PARTS,24/08/25,09:00,57.5,57.5,1.0,TVS,24,2025,
4227869,Fujitsu Services Limited - Star Trains - ME,Northern Rail MT (Blackpool),FY1 2AB,MANPOWER,22/08/25,07:12,30.0,30.0,1.0,TVS,23,2025,
4227278,Secure Retail Limited,WAGAMAMA,L1 8JF,TECH EXCHANGE,21/08/25,09:00,8.0,8.0,1.0,TVS,23,2025,
4226528,Engineer Adjustments,TVSSCS WARRINGTON DEPOT,WA5 7TN,MANPOWER_R - 2HR,20/08/25,09:00,30.0,30.0,1.0,TVS,23,2025,
4224033,Xerox (UK) Technical***DO NOT INVOICE****,Boots UK Limited,LA4 5DH,REPAIR WITH PARTS,16/08/25,11:15,100.0,100.0,1.0,TVS,22,2025,
4221322,Computacenter - Kingfisher,B & Q PLC,BL1 2SL,TECH EXCHANGE,12/08/25,16:41,15.0,15.0,1.0,TVS,22,2025,
4221219,Secure Retail Limited,TERRACE NQ,M4 1NA,TECH EXCHANGE,12/08/25,16:13,10.0,10.0,1.0,TVS,22,2025,
4221217,Secure Retail Limited,TERRACE NQ,M4 1NA,TECH EXCHANGE,12/08/25,16:10,15.0,15.0,1.0,TVS,22,2025,
4221210,Secure Retail Limited,TERRACE NQ,M4 1NA,TECH EXCHANGE,12/08/25,16:04,15.0,15.0,1.0,TVS,22,2025,
4221207,Secure Retail Limited,TERRACENQ,M4 1NA,TECH EXCHANGE,12/08/25,16:02,15.0,15.0,1.0,TVS,22,2025,
4221073,Secure Retail Limited,TERRACENQ,M4 1NA,TECH EXCHANGE,13/08/25,09:00,15.0,15.0,1.0,TVS,22,2025,
4220988,Fujitsu Services Limited - Star Trains - P2PE,Arriva Trains Cross Country (Manchester),M1 2BP,TECH EXCHANGE,,,35.0,35.0,1.0,TVS,22,2025,
4220983,Fujitsu Services Limited - Star Trains - P2PE,Arriva Trains Cross Country (Manchester),M1 2BP,TECH EXCHANGE,,,40.0,40.0,1.0,TVS,22,2025,
4220952,DHL Supply Chain Limited - RBS,5 GROSVENOR STREET,M32 8BR,COLLECTION,12/08/25,12:52,15.0,15.0,1.0,TVS,22,2025,
4220937,Fujitsu Services Limited - Vodafone,"VODAFONE (MANCHESTER,MARKET ST EXPERIENCE STORE)",M1 1WR,TECH EXCHANGE,,,15.0,15.0,1.0,TVS,22,2025,
4220908,CXM,MANCHESTER PICCADILLY,M60 7RA,TECH EXCHANGE,12/08/25,12:20,15.0,15.0,1.0,TVS,22,2025,
4220817,Computacenter Limited - HSBC,COMPUTACENTER HSBC,BL1 1RJ,TECH EXCHANGE,12/08/25,10:57,10.0,10.0,1.0,TVS,22,2025,
4220762,Symec Travis Perkins,C C F LTD,M17 1EB,TECH EXCHANGE,12/08/25,10:00,15.0,15.0,1.0,TVS,22,2025,
4217878,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,SK8 4AE,TECH EXCHANGE,07/08/25,10:11,45.0,45.0,1.0,TVS,21,2025,
4217201,Xerox (UK) Technical***DO NOT INVOICE****,Boots UK Limited,LA12 7LR,REPAIR WITH PARTS,06/08/25,12:15,67.66,67.66,1.0,TVS,21,2025,
4215128,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,M23 9TJ,REPAIR,04/08/25,11:50,40.0,40.0,1.0,TVS,21,2025,
4214974,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,FY1 2AB,MANPOWER,04/08/25,08:22,45.0,45.0,1.0,TVS,21,2025,
4209480,Xerox (UK) Technical***DO NOT INVOICE****,Mitchells & Butlers Leisure Retail,WA5 8WF,REPAIR WITH PARTS,,,40.0,40.0,1.0,TVS,19,2025,
4209437,Computacenter - Astra Zeneca,Walk Up - Liverpool - Speke,L24 9JW,DELIVERY,26/07/25,08:00,10.0,10.0,1.0,TVS,19,2025,
4207561,Fujitsu GBL - H&M * DO NOT INVOICE*,H&M Shiftstore H&M,L2 6PG,MANPOWER,24/07/25,09:00,15.0,15.0,1.0,TVS,19,2025,
4206986,Paypoint Network Limited - UK,MORRISONS DAILY,CW11 1GS,TECH EXCHANGE,23/07/25,11:28,45.0,45.0,1.0,TVS,19,2025,
4206134,Fujitsu Services Limited - Star Trains - P2PE,Northern Rail MT (Liverpool),L1 1JD,TECH EXCHANGE,,,15.0,15.0,1.0,TVS,19,2025,
4206132,Fujitsu Services Limited - Star Trains - P2PE,Northern Rail MT (Liverpool),L1 1JD,TECH EXCHANGE,,,15.0,15.0,1.0,TVS,19,2025,
4206125,Fujitsu Services Limited - Star Trains - P2PE,MERSEYRAIL,L1 1JT,TECH EXCHANGE,24/07/25,08:00,15.0,15.0,1.0,TVS,19,2025,
4204432,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,CW1 2DD,REPAIR WITH PARTS,20/07/25,09:00,40.0,40.0,1.0,TVS,19,2025,
4204428,Verifone UK LTD,STONEGATE - BLOCK & GASKET SAL,M33 7XY,TECH EXCHANGE,19/07/25,15:14,39.14,39.14,1.0,TVS,19,2025,
4204427,Verifone UK LTD,STONEGATE - BLOCK & GASKET SAL,M33 7XY,TECH EXCHANGE,19/07/25,15:14,20.0,20.0,1.0,TVS,19,2025,
4204422,Computacenter - Kingfisher,B&Q,LL57 4SU,TECH EXCHANGE,19/07/25,14:10,35.0,35.0,1.0,TVS,19,2025,
4204358,Fujitsu Services Limited - Star Trains,MERSEYRAIL,CH62 4XB,TECH EXCHANGE,19/07/25,05:05,35.0,35.0,1.0,TVS,19,2025,
4203883,Paypoint Network Limited - UK,BARGAIN BOOZE,CW1 5TF,TECH EXCHANGE,18/07/25,09:00,68.28,68.28,1.0,TVS,18,2025,
4203870,Paypoint Network Limited - UK,BARGAIN BOOZE,CW1 5TF,TECH EXCHANGE,18/07/25,12:51,35.0,35.0,1.0,TVS,18,2025,
4203812,Paypoint Network Limited - UK,RMS NEWS AND WINE,WA6 0DX,TECH EXCHANGE,18/07/25,12:07,25.0,25.0,1.0,TVS,18,2025,
4203732,Computacenter Horizon Project,GARY BUXTON,CH99 9FB,DELIVERY,18/07/25,09:00,10.0,10.0,1.0,TVS,18,2025,
4203583,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,L17 7BQ,TECH EXCHANGE,18/07/25,08:00,35.0,35.0,1.0,TVS,18,2025,
4201022,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,CH46 1QN,TECH EXCHANGE,15/07/25,12:21,90.0,90.0,1.0,TVS,18,2025,
4196996,Computacenter Limited - HSBC,COMPUTACENTER HSBC,CH99 9FB,TECH EXCHANGE,09/07/25,09:00,27.76,27.76,1.0,TVS,17,2025,
4196872,Paypoint Network Limited - UK,THE STORES,LL57 1LS,TECH EXCHANGE,09/07/25,10:46,45.0,45.0,1.0,TVS,17,2025,
4195044,Paypoint Network Limited - UK,WESTGATE NEWS,LA4 4SZ,TECH EXCHANGE,07/07/25,10:11,50.0,50.0,1.0,TVS,17,2025,
4193266,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,L2 7PQ,TECH EXCHANGE,03/07/25,15:22,42.2,42.2,1.0,TVS,16,2025,
4193161,Paypoint Network Limited - UK,CHURCH ROAD NEWS,L21 7LF,TECH EXCHANGE,03/07/25,13:24,25.0,25.0,1.0,TVS,16,2025,
4193086,Paypoint Network Limited - UK,FAMILY EXPRESS,L39 2DE,TECH EXCHANGE,03/07/25,12:08,30.0,30.0,1.0,TVS,16,2025,
4192063,Fujitsu Services Limited - Star Trains - ME,Northern Rail MT (Manchester),M60 7RA,TECH EXCHANGE,02/07/25,08:00,25.0,25.0,1.0,TVS,16,2025,
4191800,DieboldNixdorf_WIPRO,WIPRO LIMITED,M17 8JL,TECH EXCHANGE P2PE,01/07/25,19:19,15.0,15.0,1.0,TVS,16,2025,
4189838,Paypoint Network Limited - UK,POULTON POP IN,CH44 4DF,TECH EXCHANGE,29/06/25,10:06,30.0,30.0,1.0,TVS,16,2025,
4188277,Paypoint Network Limited - UK,CO-OP - RUNCORN GRANVILLE ST,WA7 1NE,TECH EXCHANGE,26/06/25,11:54,30.0,30.0,1.0,TVS,15,2025,
4188112,Computacenter - Kingfisher,B&Q,L24 8QB,TECH EXCHANGE,26/06/25,09:00,20.0,20.0,1.0,TVS,15,2025,
4186413,Paypoint Network Limited - UK,GARSTON FOOD & WINE,L19 2NJ,TECH EXCHANGE,24/06/25,10:27,30.0,30.0,1.0,TVS,15,2025,
4184984,Fujitsu Services Limited - Star Trains - P2PE,Northern Rail MT (Blackpool),FY1 2AB,TECH EXCHANGE,,,75.0,75.0,1.0,TVS,15,2025,
4181835,Paypoint Network Limited - UK,ONE STOP,CH3 7NB,TECH EXCHANGE,17/06/25,11:45,30.72,30.72,1.0,TVS,14,2025,
4180938,Paypoint Network Limited - UK,FOOD WORLD PEEL ROAD,L20 4RL,TECH EXCHANGE,16/06/25,12:20,50.0,50.0,1.0,TVS,14,2025,
4179822,EPAY Limited,CROSSINGS SERVICE STATION,WA15 8EX,TECH EXCHANGE,13/06/25,09:00,15.0,15.0,1.0,TVS,13,2025,
4175573,Paypoint Network Limited - UK,ALL IN ONE EXPRESS,L9 9BY,TECH EXCHANGE,07/06/25,10:20,30.0,30.0,1.0,Rico,12,2025,
4173301,Xerox (UK) Technical***DO NOT INVOICE****,Boots UK Limited,WA14 5GR,REPAIR,04/06/25,09:00,35.0,35.0,1.0,Rico,12,2025,
4172388,Verifone UK LTD,STONEGATE - BE AT ONE LIVERPOO,L1 4AU,TECH EXCHANGE,03/06/25,09:00,15.0,15.0,1.0,Rico,12,2025,
4172331,Xerox (UK) Technical***DO NOT INVOICE****,Boots UK Limited,WA14 5GR,REPAIR WITH PARTS,03/06/25,09:00,40.0,40.0,1.0,Rico,12,2025,
4170635,Fujitsu Services Limited - Star Trains - P2PE,Northern Rail - STAR,OL11 1DR,TECH EXCHANGE,31/05/25,15:18,54.62,54.62,1.0,Rico,12,2025,
4170631,Verifone UK LTD,STONEGATE - SLUG AND LETTUCE P,M1 3HU,TECH EXCHANGE,31/05/25,14:43,40.0,40.0,1.0,Rico,12,2025,
4170601,Computacenter - Kingfisher,SCREWFIX,LL18 2AZ,TECH EXCHANGE,31/05/25,11:18,40.0,40.0,1.0,Rico,12,2025,
4169999,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,L9 9EW,TECH EXCHANGE,30/05/25,11:30,50.0,50.0,1.0,Rico,11,2025,
4169908,Paypoint Network Limited - UK,ALL IN ONE EXPRESS,L9 9BY,TECH EXCHANGE,30/05/25,10:14,25.0,25.0,1.0,Rico,11,2025,
4169069,CXM,FUSION GRILL PERI PERI,L5 7QD,INSTALL,29/05/25,13:00,15.0,15.0,1.0,Rico,11,2025,
4169017,Paypoint Network Limited - UK,BALTIC EXPRESS,L1 0AJ,TECH EXCHANGE,29/05/25,11:09,25.0,25.0,1.0,Rico,11,2025,
4168872,Paypoint Network Limited - UK,SPAR STORES,M1 1PX,TECH EXCHANGE,29/05/25,07:46,25.0,25.0,1.0,Rico,11,2025,
4168192,Computacenter - Kingfisher,B & Q PLC,WN5 0XN,TECH EXCHANGE,25/05/25,09:00,33.42,33.42,1.0,Rico,11,2025,
4168180,POSTURITE LIMITED,SOPHENA WILSON,M16 0UF,DESK SP INSTALL,28/05/25,09:00,40.0,40.0,1.0,Rico,11,2025,
4166134,Computacenter Limited,B & Q PLC,WN5 0XN,TECH EXCHANGE,25/05/25,08:00,20.0,20.0,1.0,Rico,11,2025,
4165608,Pret Tech Mahindra (UK) BAU,PRET A MANGER,M17 8DA,TECH EXCHANGE,23/05/25,09:00,15.0,15.0,1.0,Rico,10,2025,
4165322,Paypoint Network Limited - UK,SPAR STORES,M1 5QA,TECH EXCHANGE,23/05/25,08:22,40.0,40.0,1.0,Rico,10,2025,
4164611,Paypoint Network Limited - UK,JR OFF LICENCE,M46 0DF,TECH EXCHANGE,22/05/25,12:26,30.0,30.0,1.0,Rico,10,2025,
4164566,Paypoint Network Limited - UK,M7 CONVENIENCE STORE,M7 4TW,TECH EXCHANGE,22/05/25,11:34,40.0,40.0,1.0,Rico,10,2025,
4163121,COMPUTACENTER HSBC â€“ EBBT,COMPUTACENTER HSBC,WA10 2SZ,TECH EXCHANGE,20/05/25,16:21,15.0,15.0,1.0,Rico,10,2025,
4163112,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,CH1 4DS,REPAIR WITH PARTS,21/05/25,09:00,40.0,40.0,1.0,Rico,10,2025,
4163010,Fujitsu Services Limited - Star Trains - ME,Northern Rail MT (Manchester),M60 7RA,TECH EXCHANGE_R,,,15.0,15.0,1.0,Rico,10,2025,
4162908,CXM,PORADA RISTORANTE,M45 8QP,INSTALL,20/05/25,13:40,15.0,15.0,1.0,Rico,10,2025,
4162800,Computacenter - KPMG,KPMG LLP. (0081097989),M2 3AE,NON TECH EXCHANGE,21/05/25,09:00,10.0,10.0,1.0,Rico,10,2025,
4162744,Fujitsu Services Limited - Star Trains - ME,Northern Rail MT (Wigan),WN1 1BB,TECH EXCHANGE,20/05/25,11:51,30.0,30.0,1.0,Rico,10,2025,
4162684,DieboldNixdorf_WIPRO,TRAFFORD PEEL AVENUE,M17 8JL,TECH EXCHANGE P2PE,20/05/25,10:29,15.0,15.0,1.0,Rico,10,2025,
4162585,Fujitsu Services Limited - Star Trains - ME,Northern Rail MT (Manchester),M3 1WY,TECH EXCHANGE,20/05/25,07:30,30.0,30.0,1.0,Rico,10,2025,
4158470,Computacenter PwC NON TECH EXCHANGE,P W C,M3 3EB,TECH EXCHANGE,14/05/25,09:16,10.0,10.0,1.0,Rico,10,2025,
4158463,Computacenter PwC NON TECH EXCHANGE,P W C,M3 3EB,TECH EXCHANGE,14/05/25,09:07,10.0,10.0,1.0,Rico,10,2025,
4161155,Engineer Adjustments,TVSSCS WARRINGTON DEPOT,WA5 7TN,ENGINEER ADJUSTMENT,17/05/25,09:00,55.0,55.0,1.0,Rico,9,2025,
4157657,Fujitsu Services Limited - Star Trains - ME,MOORFIELDS STATION,L2 2BS,MANPOWER,13/05/25,15:00,70.0,70.0,1.0,Rico,9,2025,
4155052,Paypoint Network Limited - UK,STANLEY WINE,L33 1DF,TECH EXCHANGE,09/05/25,11:42,45.0,45.0,1.0,Rico,8,2025,
4154211,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,OL11 1DR,MANPOWER,08/05/25,13:00,40.0,40.0,1.0,Rico,8,2025,
4153345,CXM,KELSALL SOCIAL CLUB,CW6 0SB,INSTALL,08/05/25,14:30,15.0,15.0,1.0,Rico,8,2025,
4153335,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,CH43 7AA,REPAIR WITH PARTS,08/05/25,09:00,60.0,60.0,1.0,Rico,8,2025,
4152696,Computacenter Limited,LLOYDS BANKING GROUP PLC (008102783,SK8 2DL,NON TECH EXCHANGE,07/05/25,09:00,10.0,10.0,1.0,Rico,8,2025,
4151543,Paypoint Network Limited - UK,LOCAL SHOP COLNE LTD,BB8 0BA,TECH EXCHANGE,05/05/25,11:19,70.0,70.0,1.0,Rico,8,2025,
4151376,Xerox (UK) Technical***DO NOT INVOICE****,Everything Everywhere Limited,OL16 1EA,REPAIR WITH PARTS,04/05/25,09:00,50.0,50.0,1.0,Rico,8,2025,
4151370,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,L1 4HF,REPAIR WITH PARTS,04/05/25,09:00,50.0,50.0,1.0,Rico,8,2025,
4151358,Fujitsu Services Limited - Telefonica ME,O2 BURY 0380,BL9 0QQ,TECH EXCHANGE,03/05/25,11:42,40.0,40.0,1.0,Rico,8,2025,
4151328,Fujitsu - Star â€“ TFW - TC,TRANSPORT FOR WALES (Chester),CH1 3NS,TECH EXCHANGE,03/05/25,07:36,30.0,30.0,1.0,Rico,8,2025,
4150567,Paypoint Network Limited - UK,RAJ STORES,M16 9JJ,TECH EXCHANGE,02/05/25,09:34,30.0,30.0,1.0,Rico,7,2025,
4149633,Paypoint Network Limited - UK,PREMIER,FY5 2QD,TECH EXCHANGE,01/05/25,10:33,60.0,60.0,1.0,Rico,7,2025,
4149438,Fujitsu Services Limited - Star Trains - P2PE,Northern Rail MT (Manchester),M3 1WY,TECH EXCHANGE,,,30.0,30.0,1.0,Rico,7,2025,
4149000,PayPoint Unscheduled,PREMIER ST ANNES STORES,FY4 2AS,COLLECTION,30/04/25,15:18,20.0,20.0,1.0,Rico,7,2025,
4148757,Fujitsu Services Limited - Star Trains - ME,Northern Rail - STAR,BL6 4RT,TECH EXCHANGE,30/04/25,11:01,45.0,45.0,1.0,Rico,7,2025,
4147848,Fujitsu Services Limited - Star Trains - P2PE,TRANSPORT FOR WALES (Crewe),CW2 6HR,TECH EXCHANGE,,,30.0,30.0,1.0,Rico,7,2025,
4147838,Fujitsu Services Limited - Star Trains - P2PE,TRANSPORT FOR WALES (Crewe),CW2 6HR,TECH EXCHANGE,,,30.0,30.0,1.0,Rico,7,2025,
4146874,Paypoint Network Limited - UK,MORRISONS DAILY,WN3 4RD,TECH EXCHANGE,28/04/25,11:17,30.0,30.0,1.0,Rico,7,2025,
4146743,Paypoint Network Limited - UK,MORRISONS DAILY,WN3 4RD,TECH EXCHANGE,28/04/25,09:22,30.0,30.0,1.0,Rico,7,2025,
4142587,Xerox (UK) Technical***DO NOT INVOICE****,TESCO Stores Limited,L25 7SF,REPAIR WITH PARTS,22/04/25,09:00,60.0,60.0,1.0,Rico,6,2025,
4142128,Paypoint Network Limited - UK,D & D NEWSAGENTS,M23 2UH,TECH EXCHANGE,22/04/25,07:22,30.0,30.0,1.0,Rico,6,2025,
4139715,Computacenter Horizon Project,ALAN.THOMAS,CH4 9GB,TECH EXCHANGE_R,16/04/25,09:00,15.0,15.0,1.0,Rico,5,2025,
4139573,Xerox (UK) Technical***DO NOT INVOICE****,Mitchells & Butlers Leisure Retail,CW5 6NE,REPAIR,16/04/25,09:00,54.84,54.84,1.0,Rico,5,2025,
4138502,Paypoint Network Limited - UK,VICTORIA CONVENIENCE STORE,L2 6QE,TECH EXCHANGE,15/04/25,09:53,25.0,25.0,1.0,Rico,5,2025,
4133259,Paypoint Network Limited - UK,SANKEY LATE SHOP,WA5 1BT,TECH EXCHANGE,08/04/25,09:30,25.0,25.0,1.0,Rico,4,2025,
4132576,Fujitsu Services Limited - Star Trains - ME,MERSEYRAIL,L1 1JT,MANPOWER,07/04/25,13:39,20.0,20.0,1.0,Rico,4,2025,
4130210,Paypoint Network Limited - UK,ABI MINI MART,WA7 2DY,TECH EXCHANGE,03/04/25,08:27,30.0,30.0,1.0,Rico,3,2025,
4128533,Xerox (UK) Technical***DO NOT INVOICE****,Mitchells & Butlers Leisure Retail,CH3 6AE,REPAIR,01/04/25,09:00,45.0,45.0,1.0,Rico,3,2025,
4128239,Xerox (UK) Technical***DO NOT INVOICE****,Mitchells & Butlers Leisure Retail,CH3 6AE,X015 - NON CHARGEABLE -,,,16.63,16.63,1.0,Rico,3,2025,
